region,year,avgBall,avgBall100,avgBall12
Донецька область,2019,48.579081632653065,139.32130102040816,6.574642126789366
Харківська область,2019,52.03006398940865,144.12282105030891,6.9596754807692305
Житомирська область,2019,49.93991279378922,141.14585770498778,6.738772711690093
Рівненська область,2019,48.50070365902694,139.10791113791717,6.468109698434381
Волинська область,2019,51.30169637105433,142.87733519433112,6.819503945885006
Івано-Франківська область,2020,54.903650442477876,145.36559734513276,7.767779913503124
Кіровоградська область,2020,51.682409817776126,141.41827817032353,7.461411473380108
Рівненська область,2020,54.96056166056166,145.51385836385836,7.755458515283843
Чернігівська область,2020,53.51516098780869,143.75914348233823,7.522598384602166
Тернопільська область,2020,54.28530989272944,144.6945768772348,7.627769807109836
Миколаївська область,2020,49.84051854085016,138.9648025324088,7.3058430717863105
Черкаська область,2020,53.21543868784171,143.38831033585004,7.651106352605282
Кіровоградська область,2019,48.850410789024956,139.76468764532632,6.5223905443649075
Сумська область,2019,49.68584305408272,140.86154559915164,6.6965477226573835
Закарпатська область,2019,43.49027459954233,132.35903890160182,5.979676729260756
Чернігівська область,2019,51.46095505617978,143.22106741573035,6.797895057962172
Херсонська область,2019,47.18478678447945,137.6580227942118,6.466887875017282
Сумська область,2020,54.57153740667378,145.0845649855249,7.885021097046414
Житомирська область,2020,53.730876469875135,143.9594496302582,7.711785761633302
Закарпатська область,2020,47.71226344807033,136.04820444047087,6.953359683794466
Луганська область,2020,51.32155301144848,140.9352911896466,7.537552742616033
Київська область,2020,53.86982141238328,144.2852869186837,7.665489404641776
Вінницька область,2019,48.58245335450576,139.32719333068678,6.641429801894918
Полтавська область,2019,49.85908517043799,141.1449936874818,6.739379171522407
Миколаївська область,2019,47.36879432624114,137.8667201926937,6.462885255389958
Запорізька область,2019,47.51409181636726,138.2280638722555,6.449429254048314
Волинська область,2020,54.669334732974676,145.30389712636136,7.748312024134464
Хмельницька область,2020,53.88405797101449,144.19422767248855,7.692881898160491
Івано-Франківська область,2019,49.360247872734,140.3069737328894,6.751148470335256
Черкаська область,2019,50.392332586507344,142.1001991535972,6.694828053073382
м.Київ,2020,58.77395263389113,150.51607492311993,8.189483822949958
Львівська область,2020,59.57077251107102,151.4402438357662,8.195827406353722
Чернівецька область,2019,44.00994522917267,133.1912654943788,6.134935025687519
Вінницька область,2020,53.08988554945566,143.13394435656463,7.67672280194235
Чернівецька область,2020,51.42785878741366,140.99635456638526,7.478557712822701
Львівська область,2019,54.498021617448366,146.75246091488128,7.156343863283273
Хмельницька область,2019,49.39655355813211,140.4542069992554,6.619325842696629
Херсонська область,2020,49.86921189819074,139.0223091076357,7.298587760591795
Луганська область,2019,47.871478110099694,138.63123103597746,6.509874759152216
Полтавська область,2020,52.97168001805258,143.0638045808417,7.666539196940726
Одеська область,2019,47.10710252935863,137.60563459801264,6.338524490045193
Донецька область,2020,51.002588438308884,140.4487585082926,7.388131773795472
Харківська область,2020,54.80729995872398,145.49310100831417,7.803831518173468
Тернопільська область,2019,50.0169574234476,141.1936074173478,6.6849826277184405
Одеська область,2020,51.14824764165677,140.68042106578372,7.461559601511508
м.Київ,2019,55.07884372729706,148.02905976369823,7.238167809668953
Дніпропетровська область,2019,48.37555772744656,139.38135809289082,6.550197078599583
Київська область,2019,52.17304254558456,144.16048444762245,6.907006748709805
Дніпропетровська область,2020,51.736396846760236,141.48656508363777,7.515325670498084
Запорізька область,2020,49.779523898084435,138.9108703738144,7.291487351737168
